LotArea,TotalBsmtSF,BedroomAbvGr,Fireplaces,PoolArea,GarageCars,WoodDeckSF,ScreenPorch,MSZoning,Condition1,Heating,Street,CentralAir,Foundation,MSSubClass,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,TotRmsAbvGrd,GarageYrBlt,GarageArea,OpenPorchSF,EnclosedPorch,3SsnPorch,MiscVal,MoSold,YrSold,Id,Alley,LotShape,Utilities,LotConfig,Neighborhood,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Electrical,GarageType,PavedDrive,Fence,MiscFeature,SaleType,SaleCondition,Unnamed: 0,LandContour,LandSlope,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PoolQC,prediction
9505.0,884.0,3.0,1.0,0.0,2.0,144.0,0.0,RL,Norm,GasA,Pave,Y,PConc,60.0,2001.0,2001.0,180.0,0.0,0.0,884.0,884.0,1151.0,0.0,2035.0,0.0,0.0,2.0,1.0,1.0,8.0,2001.0,434.0,48.0,0.0,0.0,0.0,5.0,2010.0,148.0,,IR1,AllPub,CulDSac,Gilbert,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,SBrkr,BuiltIn,Y,,,WD,Normal,147.0,3.0,2.0,6.0,4.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,4.0,3.0,7.0,3.0,3.0,2.0,2.0,0.0,0.0
9600.0,1095.0,4.0,0.0,0.0,3.0,0.0,0.0,RM,Norm,GasW,Pave,N,BrkTil,70.0,1900.0,1950.0,0.0,0.0,0.0,1095.0,1095.0,679.0,0.0,1774.0,1.0,0.0,2.0,0.0,2.0,8.0,1920.0,779.0,0.0,90.0,0.0,0.0,5.0,2006.0,677.0,Grvl,Reg,AllPub,Inside,OldTown,Norm,1Fam,2Story,Gable,CompShg,AsbShng,Stucco,None,SBrkr,2Types,N,,,WD,Normal,676.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,
3363.0,976.0,3.0,0.0,0.0,2.0,0.0,0.0,RM,Norm,GasA,Pave,Y,PConc,160.0,2004.0,2004.0,117.0,0.0,0.0,976.0,976.0,732.0,0.0,1708.0,0.0,0.0,2.0,0.0,1.0,7.0,2004.0,380.0,40.0,0.0,0.0,0.0,4.0,2006.0,1305.0,,Reg,AllPub,Inside,Edwards,Norm,TwnhsE,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,SBrkr,Detchd,Y,,,WD,Normal,1304.0,3.0,2.0,6.0,4.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,4.0,3.0,3.0,0.0,1.0,2.0,2.0,0.0,
9750.0,1108.0,3.0,1.0,0.0,2.0,253.0,0.0,RL,Norm,GasA,Pave,Y,PConc,60.0,1998.0,1998.0,0.0,975.0,0.0,133.0,1108.0,989.0,0.0,2097.0,1.0,0.0,2.0,1.0,1.0,8.0,1998.0,583.0,170.0,0.0,0.0,0.0,6.0,2006.0,1373.0,,Reg,AllPub,Corner,CollgCr,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,SBrkr,Detchd,Y,,,WD,Normal,1372.0,3.0,2.0,6.0,5.0,2.0,2.0,3.0,2.0,2.0,6.0,1.0,4.0,3.0,7.0,2.0,2.0,2.0,2.0,0.0,
10930.0,913.0,3.0,1.0,0.0,1.0,0.0,0.0,RL,Artery,GasA,Pave,Y,CBlock,50.0,1945.0,1950.0,0.0,580.0,0.0,333.0,1048.0,510.0,0.0,1558.0,1.0,0.0,1.0,1.0,1.0,6.0,1962.0,288.0,0.0,0.0,0.0,0.0,4.0,2008.0,1428.0,Grvl,Reg,AllPub,Inside,NAmes,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,FuseA,Attchd,Y,,,WD,Normal,1427.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,7.0,2.0,1.0,2.0,2.0,0.0,
14572.0,1530.0,3.0,1.0,0.0,3.0,144.0,0.0,RL,Norm,GasA,Pave,Y,PConc,20.0,2004.0,2004.0,0.0,1300.0,0.0,230.0,1530.0,0.0,0.0,1530.0,1.0,0.0,2.0,0.0,1.0,7.0,2004.0,630.0,36.0,0.0,0.0,0.0,11.0,2007.0,1128.0,,IR3,AllPub,Corner,Gilbert,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,SBrkr,Attchd,Y,,,WD,Family,1127.0,3.0,2.0,6.0,4.0,3.0,2.0,3.0,2.0,2.0,6.0,1.0,4.0,3.0,7.0,3.0,3.0,2.0,2.0,0.0,
13418.0,1117.0,4.0,1.0,0.0,3.0,113.0,0.0,RL,Norm,GasA,Pave,Y,PConc,60.0,2004.0,2005.0,132.0,0.0,0.0,1117.0,1132.0,1320.0,0.0,2452.0,0.0,0.0,3.0,1.0,1.0,9.0,2004.0,691.0,32.0,0.0,0.0,0.0,9.0,2006.0,36.0,,Reg,AllPub,Inside,NridgHt,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,SBrkr,BuiltIn,Y,,,WD,Normal,35.0,3.0,2.0,7.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,3.0,7.0,3.0,3.0,2.0,2.0,0.0,0.0
9400.0,945.0,4.0,0.0,0.0,0.0,0.0,0.0,RL,Norm,GasA,Pave,Y,CBlock,90.0,1975.0,1975.0,250.0,945.0,0.0,0.0,980.0,0.0,0.0,980.0,0.0,2.0,2.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,10.0,2006.0,955.0,,IR1,AllPub,CulDSac,Edwards,Norm,Duplex,SFoyer,Flat,Tar&Grv,WdShing,Plywood,BrkFace,SBrkr,,Y,,,WD,AdjLand,954.0,3.0,2.0,5.0,4.0,2.0,2.0,3.0,3.0,3.0,6.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,
8700.0,1120.0,3.0,0.0,0.0,2.0,192.0,0.0,RL,Norm,GasA,Pave,Y,CBlock,20.0,1963.0,1963.0,148.0,776.0,0.0,344.0,1128.0,0.0,0.0,1128.0,1.0,0.0,2.0,0.0,1.0,6.0,1963.0,525.0,20.0,123.0,0.0,0.0,12.0,2008.0,1297.0,,Reg,AllPub,Inside,NAmes,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,SBrkr,Attchd,Y,MnPrv,,WD,Normal,1296.0,3.0,2.0,4.0,5.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,3.0,2.0,7.0,0.0,2.0,2.0,2.0,0.0,
8402.0,1120.0,3.0,0.0,0.0,0.0,0.0,0.0,RL,Feedr,GasA,Pave,Y,PConc,20.0,2007.0,2007.0,0.0,206.0,0.0,914.0,1120.0,0.0,0.0,1120.0,0.0,0.0,1.0,0.0,1.0,6.0,,0.0,30.0,0.0,0.0,0.0,12.0,2007.0,614.0,,Reg,AllPub,Inside,Mitchel,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,SBrkr,,Y,,,New,Partial,613.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,0.0,5.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,
13695.0,1114.0,3.0,0.0,0.0,2.0,0.0,0.0,RL,RRAe,GasA,Pave,Y,PConc,20.0,2004.0,2004.0,0.0,646.0,0.0,468.0,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,1.0,6.0,2004.0,576.0,102.0,0.0,0.0,0.0,6.0,2008.0,19.0,,Reg,AllPub,Inside,SawyerW,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,SBrkr,Detchd,Y,,,WD,Normal,18.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,6.0,1.0,4.0,3.0,7.0,0.0,1.0,2.0,2.0,0.0,0.0
10041.0,908.0,3.0,1.0,0.0,2.0,120.0,0.0,RL,Norm,GasA,Pave,Y,PConc,60.0,1992.0,1992.0,0.0,789.0,0.0,119.0,927.0,988.0,0.0,1915.0,1.0,0.0,2.0,1.0,1.0,8.0,1992.0,506.0,150.0,0.0,0.0,0.0,2.0,2006.0,603.0,,IR1,AllPub,Inside,SawyerW,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,SBrkr,Attchd,Y,,,WD,Abnorml,602.0,3.0,2.0,7.0,4.0,3.0,2.0,3.0,2.0,1.0,6.0,1.0,4.0,3.0,7.0,2.0,3.0,2.0,2.0,0.0,
3675.0,547.0,2.0,0.0,0.0,2.0,0.0,0.0,RM,Norm,GasA,Pave,Y,PConc,180.0,2005.0,2006.0,82.0,547.0,0.0,0.0,1072.0,0.0,0.0,1072.0,1.0,0.0,2.0,0.0,1.0,5.0,2005.0,525.0,44.0,0.0,0.0,0.0,6.0,2006.0,1298.0,,Reg,AllPub,Inside,Edwards,Norm,TwnhsE,SFoyer,Gable,CompShg,VinylSd,VinylSd,BrkFace,SBrkr,Basment,Y,,,New,Partial,1297.0,3.0,2.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,6.0,1.0,3.0,2.0,7.0,0.0,3.0,2.0,2.0,0.0,
8978.0,948.0,3.0,0.0,0.0,1.0,147.0,0.0,RL,Norm,GasA,Pave,Y,PConc,20.0,1968.0,1968.0,0.0,0.0,0.0,948.0,948.0,0.0,0.0,948.0,0.0,0.0,1.0,0.0,1.0,6.0,1968.0,300.0,0.0,0.0,0.0,0.0,5.0,2007.0,735.0,,IR1,AllPub,Corner,Sawyer,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,SBrkr,Attchd,Y,,,WD,Family,734.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,7.0,0.0,1.0,2.0,2.0,0.0,
13005.0,845.0,4.0,1.0,0.0,2.0,288.0,0.0,RL,Norm,GasA,Pave,Y,CBlock,60.0,1980.0,1980.0,278.0,692.0,0.0,153.0,1153.0,1200.0,0.0,2353.0,1.0,0.0,2.0,1.0,1.0,10.0,1983.0,484.0,195.0,0.0,0.0,0.0,8.0,2009.0,317.0,,IR1,AllPub,Corner,NWAmes,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,BrkFace,SBrkr,Attchd,Y,GdPrv,,WD,Normal,316.0,3.0,2.0,6.0,6.0,3.0,2.0,3.0,2.0,0.0,6.0,1.0,2.0,4.0,7.0,2.0,2.0,2.0,2.0,0.0,
16321.0,1484.0,2.0,2.0,0.0,1.0,288.0,0.0,RL,Norm,GasA,Pave,Y,CBlock,20.0,1957.0,1997.0,0.0,1277.0,0.0,207.0,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,1.0,6.0,1957.0,319.0,258.0,0.0,0.0,0.0,12.0,2006.0,29.0,,IR1,AllPub,CulDSac,NAmes,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,SBrkr,Attchd,Y,,,WD,Normal,28.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,7.0,3.0,2.0,2.0,2.0,0.0,0.0
21750.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,RL,Norm,GasA,Pave,Y,Slab,20.0,1960.0,2006.0,75.0,0.0,0.0,0.0,1771.0,0.0,0.0,1771.0,0.0,0.0,1.0,0.0,1.0,9.0,1960.0,336.0,0.0,0.0,0.0,0.0,11.0,2009.0,1049.0,,Reg,AllPub,Inside,Mitchel,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,SBrkr,Attchd,Y,GdPrv,,WD,Normal,1048.0,3.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,0.0,
10562.0,1582.0,3.0,1.0,0.0,3.0,178.0,0.0,RL,Norm,GasA,Pave,Y,PConc,60.0,2007.0,2007.0,300.0,1288.0,0.0,294.0,1610.0,551.0,0.0,2161.0,1.0,0.0,1.0,1.0,1.0,8.0,2007.0,789.0,120.0,0.0,0.0,0.0,11.0,2007.0,168.0,,Reg,AllPub,Inside,NridgHt,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,SBrkr,Attchd,Y,,,New,Partial,167.0,3.0,2.0,7.0,4.0,3.0,2.0,4.0,2.0,0.0,6.0,1.0,4.0,4.0,7.0,3.0,3.0,2.0,2.0,0.0,0.0
10769.0,866.0,3.0,0.0,0.0,2.0,144.0,0.0,RL,Norm,GasA,Pave,Y,PConc,60.0,2007.0,2007.0,0.0,20.0,0.0,846.0,866.0,902.0,0.0,1768.0,0.0,0.0,2.0,1.0,1.0,7.0,2007.0,578.0,105.0,0.0,0.0,0.0,4.0,2009.0,757.0,,IR1,AllPub,Inside,CollgCr,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,SBrkr,Attchd,Y,,,WD,Normal,756.0,3.0,2.0,7.0,4.0,3.0,2.0,3.0,2.0,2.0,6.0,1.0,4.0,3.0,7.0,0.0,2.0,2.0,2.0,0.0,
9760.0,780.0,4.0,0.0,0.0,2.0,328.0,189.0,RL,Norm,GasA,Pave,Y,CBlock,60.0,1964.0,1964.0,360.0,674.0,106.0,0.0,798.0,813.0,0.0,1611.0,1.0,0.0,1.0,1.0,1.0,7.0,1964.0,442.0,128.0,0.0,0.0,0.0,6.0,2008.0,1068.0,,Reg,AllPub,Inside,NAmes,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,SBrkr,Attchd,Y,,,WD,Normal,1067.0,3.0,1.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,6.0,2.0,2.0,2.0,7.0,0.0,2.0,2.0,2.0,0.0,
9750.0,1054.0,3.0,0.0,0.0,2.0,180.0,80.0,RL,Norm,GasA,Pave,Y,CBlock,20.0,1969.0,1969.0,0.0,602.0,438.0,14.0,1054.0,0.0,0.0,1054.0,1.0,0.0,1.0,1.0,1.0,6.0,1969.0,460.0,0.0,0.0,0.0,0.0,7.0,2008.0,1260.0,,Reg,AllPub,FR2,NAmes,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,SBrkr,Attchd,Y,,,WD,Normal,1259.0,3.0,2.0,5.0,7.0,2.0,2.0,3.0,2.0,0.0,5.0,2.0,3.0,2.0,7.0,0.0,1.0,2.0,2.0,0.0,
10140.0,832.0,4.0,1.0,0.0,2.0,0.0,259.0,RL,Norm,GasA,Pave,Y,PConc,60.0,1976.0,1976.0,0.0,194.0,0.0,638.0,832.0,832.0,0.0,1664.0,0.0,0.0,2.0,1.0,1.0,8.0,1976.0,528.0,28.0,0.0,0.0,0.0,3.0,2006.0,1294.0,,Reg,AllPub,Inside,NWAmes,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,SBrkr,Attchd,Y,GdWo,,WD,Normal,1293.0,3.0,2.0,6.0,4.0,2.0,2.0,3.0,2.0,0.0,6.0,1.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,0.0,
